,title,translated
0,Kemenko Marves dorong percepatan peralihan kendaraan listrik,Kemenko Marves pushed the switch to electric vehicles.
1,Mengulas Langkah Indonesia Jadi Produsen Baterai dan Kendaraan Listrik,"Step by step, Indonesia became a battery and electrical power producer."
2,"RI Percepat Pengembangan Ekosistem Kendaraan Listrik, Begini Caranya","RI Speeds Up Development of a Power Stewardship Ecosystem, Here's how it works."
3,Pemkot Surabaya Godok Tarif Angkutan Umum Listrik - harian.disway.id,The shutdown of Surabaya's public transportation system — diel.disway.id.
4,Isuzu Masih Belum Yakin Bawa Truk Listrik ke Indonesia,Isuzu Still Hasn't Bought Electricity to Indonesia
5,Pembiayaan kendaraan listrik bisa capai Rp170 miliar pada 2023,Electric vehicle retrofitting could be worth 170 billion by 2023.
6,"Presiden Syaratkan IKN 100 Persen Pakai Kendaraan Listrik, PLN: Kami Siapkan Infrastrur | Republika Online","President Requires IKN 100 Percent License, PLN: We're Preparing Infrastructure | Republika Online"
7,"IKN Pakai 100 Persen Kendaraan Listrik, 19 SPBU Listrik Sudah Terpasang pada 2024","IKN Buys 100 Power Stations, 19 Power Stations Already Installed By 2024."
8,PLN Kembangkan Layanan One Stop Solution EVDS untuk Mudahkan Pengguna Kendaraan Listrik,PLN Develops EVDS One Stop Solution for Ease of Use of Electrical Power
9,Imam Budi Hartono Ajak Pejabat Pemkot Depok dan Masyarakat Gunakan Kendaraan Listrik,"Imam Hartoun, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the Imam Khomeini Foundation, the founder of the"
